格式为:mc电视名|dz直播地址
@mc=青海卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225580/index.m3u8|
@mc=深圳卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225582/index.m3u8|
@mc=山东卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225586/index.m3u8|
@mc=吉林卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225589/index.m3u8|
@mc=四川卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225570/index.m3u8|
@mc=甘肃卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225590/index.m3u8|
@mc=重庆卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225594/index.m3u8|
@mc=东南卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225598/index.m3u8|
@mc=河北卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225602/index.m3u8|
@mc=CNTV爱情喜剧|@dz=http://183.207.249.8/PLTV/3/224/3221225525/index.m3u8|
@mc=CNTV金牌综艺|@dz=http://183.207.249.8/PLTV/3/224/3221225559/index.m3u8|
@mc=CNTV动画王国|@dz=http://183.207.249.8/PLTV/3/224/3221225555/index.m3u8|
@mc=CNTV精品体育|@dz=http://183.207.249.8/PLTV/3/224/3221225543/index.m3u8|
@mc=CNTV健康有约|@dz=http://183.207.249.8/PLTV/3/224/3221225545/index.m3u8|
@mc=CNTV经典影院|@dz=http://183.207.249.8/PLTV/3/224/3221225541/index.m3u8|
@mc=CNTV海外剧场|@dz=http://183.207.249.8/PLTV/3/224/3221225547/index.m3u8|
@mc=CNTV精品记录|@dz=http://183.207.249.8/PLTV/3/224/3221225557/index.m3u8|
@mc=CNTV精品电影|@dz=http://183.207.249.8/PLTV/3/224/3221225567/index.m3u8|
@mc=CNTV古装剧场|@dz=http://183.207.249.8/PLTV/3/224/3221225527/index.m3u8|
@mc=CNTV惊悚悬疑|@dz=http://183.207.249.8/PLTV/3/224/3221225561/index.m3u8|
@mc=CNTV动作电影|@dz=http://183.207.249.8/PLTV/3/224/3221225529/index.m3u8|
@mc=CNTV军旅剧场|@dz=http://183.207.249.8/PLTV/3/224/3221225531/index.m3u8|
@mc=CNTV军事评论|@dz=http://183.207.249.8/PLTV/3/224/3221225533/index.m3u8|
@mc=CNTV明星大片|@dz=http://183.207.249.8/PLTV/3/224/3221225535/index.m3u8|
@mc=CNTV农业致富|@dz=http://183.207.249.8/PLTV/3/224/3221225537/index.m3u8|
@mc=CNTV精品大剧|@dz=http://183.207.249.8/PLTV/3/224/3221225591/index.m3u8|
@mc=CNTV完美游戏|@dz=http://183.207.249.8/PLTV/3/224/3221225539/index.m3u8|
@mc=CCTV-音乐|@dz=http://223.110.245.172//PLTV/3/224/3221225568/index.m3u8|}
